Name,Size,Watt,Price
Chieftec EON ZPU-500S,ATX,500W,NULL
Chieftec Force CPS-400S,ATX,400W,NULL
Chieftec Force CPS-500S,ATX,500W,NULL
Chieftec Force CPS-650S,ATX,650W,NULL
Chieftec Force CPS-750S,ATX,750W,NULL
Chieftec Graphics Card-1200FC,ATX,1200W,NULL
Chieftec IArena Serie GPA-350B8,ATX,350W,NULL
Chieftec IArena Serie GPA-350S8,ATX,350W,NULL
Chieftec IArena Serie GPA-400B8,ATX,400W,NULL
Chieftec IArena Serie GPA-400S8,ATX,400W,NULL
Chieftec IArena Serie GPA-450B8,ATX,450W,NULL
Chieftec IArena Serie GPA-450S8,ATX,450W,NULL
Chieftec IArena Serie GPA-500S8,ATX,500W,NULL
Chieftec IArena Serie GPB-300S,ATX,300W,NULL
Chieftec IArena Serie GPB-350S,ATX,350W,NULL
Chieftec IArena Serie GPB-400S,ATX,400W,NULL
Chieftec IArena Serie GPB-450S,ATX,450W,NULL
Chieftec IArena Serie GPB-500S,ATX,500W,NULL
Chieftec MRG-5800V redundantes 80 PLUS - 2x 800 Watt,redundant,800W,NULL
Chieftec MRG-6500P - 2x 500 Watt,redundant,500W,NULL
Chieftec MRT-5320G redundantes 80 PLUS Gold - 2x 320 Watt,redundant,320W,NULL
Chieftec Navitas,ATX,1250W,16699.95
Chieftec Navitas 80 PLUS Gold,ATX,1000W,NULL
Chieftec Navitas Serie GPM-450S,ATX,450W,NULL
Chieftec Navitas Serie GPM-550S,ATX,550W,NULL
Chieftec Navitas Serie GPM-650S,ATX,650W,NULL
Chieftec Navitas Serie GPM-750S,ATX,750W,NULL
Chieftec Polaris 3.0 1050W,ATX,1050W,24211.56
Chieftec Polaris 3.0 1250W,ATX,1250W,24211.56
Chieftec Polaris 3.0 850W,ATX,850W,24211.56
Chieftec Polaris PRO 1300W,ATX,1300W,24211.56
Chieftec Power Smart 80 PLUS Gold,ATX,1250W,NULL
Chieftec Power Smart 80 PLUS Gold,ATX,1450W,NULL
Chieftec Power Smart 80 PLUS Gold,ATX,1350W,NULL
Chieftec PSF-400B 80 PLUS Bronze,ATX,400W,NULL
Chieftec Smart Serie GPS-400A8,ATX,400W,NULL
Chieftec Smart Serie GPS-500A8,ATX,500W,NULL
Chieftec Smart Serie GPS-600A8,ATX,600W,NULL
Chieftec Smart Serie GPS-700A8,ATX,700W,NULL
Chieftec Smart Serie SFX-350BS,SFX,350W,NULL
Chieftec Smart Serie SFX-450BS,SFX,450W,NULL
Chieftec Smart Serie SFX-500GD-C,SFX-L,500W,NULL
Chieftec Smart Series TFX 250P 80 PLUS Bronze,TFX,250W,NULL
Chieftec Value APB-600B8,ATX,600W,NULL
Chieftec Value APB-700B8,ATX,700W,NULL
Chieftec Vega 750W Series PPG-750-S,ATX,750W,NULL
Chieftec Vega PPG-750-C,ATX,750W,16593.9
Chieftec Vega PPG-850-C,ATX,850W,16593.9
Chieftec Vega PPG-850-S Watt,ATX,850W,NULL
Chieftec Vita BPX-750-C,ATX,750W,16699.95
Chieftec Vita BPX-850-C,ATX,850W,16699.95
"Chieftec Vita Netzteil 750W 80+Bronze retail - PC-/Server Netzteil - 12,5 min",PS/2,750W,NULL
"Chieftec Vita Netzteil 850W 80+Bronze - PC-/Server Netzteil - 14,17 min",PS/2,850W,NULL
Cooler Master GX2 850 Gold,ATX,850W,7887.62
Cooler Master MasterWatt,ATX,550W,NULL
"Cooler Master MasterWatt, 80 PLUS-Bronze",ATX,750W,13368.38
"Cooler Master MasterWatt, 80 PLUS-Bronze",ATX,650W,13368.38
Cooler Master MWE Gold V2,ATX,850W,7887.62
Cooler Master MWE Gold V2,ATX,750W,7887.62
Cooler Master V-Series SFX,SFX,850W,59339.05
Cooler Master V-Series SFX,SFX,750W,59339.05
Corsair AX1000 High Performance,ATX,1000W,NULL
Corsair AX1500i Digital ATX Power Supply,ATX,1500W,NULL
Corsair AX760i Digital ATX Power Supply,ATX,760W,NULL
Corsair AX850 High Performance,ATX,850W,NULL
Corsair Builder Series CX450,ATX,450W,NULL
Corsair Builder Series CX450M Modular,ATX,450W,NULL
Corsair Builder Series CX500,ATX,500W,NULL
Corsair Builder Series CX550,ATX,550W,NULL
Corsair Builder Series CX550M Modular,ATX,550W,NULL
Corsair Builder Series CX600,ATX,600W,NULL
Corsair Builder Series CX650,ATX,650W,NULL
Corsair Builder Series CX650M Modular,ATX,650W,NULL
Corsair Builder Series CX750,ATX,750W,NULL
Corsair Builder Series CX750 Rev. 2,ATX,750W,NULL
Corsair Builder Series CX750M Modular,ATX,750W,NULL
Corsair Builder Series CX850M Modular,ATX,850W,NULL
Corsair CS-M Series CS550M Modular,ATX,550W,NULL
Corsair CS-M Series CS650M Modular,ATX,650W,NULL
Corsair CS-M Series CS750M Modular,ATX,750W,NULL
Corsair CS-M Series CS850M Modular,ATX,850W,NULL
Corsair CV Series CV450,ATX,450W,NULL
Corsair CV Series CV550,ATX,550W,NULL
Corsair CV Series CV650,ATX,650W,NULL
Corsair CV Series CV650 Dual EPS,ATX,650W,NULL
Corsair CX550F RGB,ATX,550W,14023.12
Corsair CX550F RGB,ATX,550W,14023.12
Corsair CX550M,ATX,550W,13585.75
Corsair CX650,ATX,650W,22350.75
Corsair CX650F RGB,ATX,650W,14023.12
Corsair CX650F RGB,ATX,650W,14023.12
Corsair CX650M,ATX,650W,22350.75
Corsair CX750,ATX,750W,14023.12
Corsair CX750F RGB,ATX,750W,14023.12
Corsair CX750F RGB,ATX,750W,14023.12
Corsair CX750M,ATX,750W,14023.12
Corsair CX850M,ATX,850W,13585.75
Corsair HX1000,ATX,1000W,37688.62
Corsair HX1000 High Performance,ATX,1000W,NULL
Corsair HX1000i High Performance,ATX,1000W,NULL
Corsair HX1000i High-Performance ATX Power Supply,ATX,1000W,NULL
Corsair HX1200 High Performance,ATX,1200W,NULL
Corsair HX1200i High Performance,ATX,1200W,NULL
Corsair HX750,ATX,750W,14023.12
Corsair HX750 High Performance,ATX,750W,NULL
Corsair HX750i High Performance,ATX,750W,NULL
Corsair HX750i High-Performance ATX Power Supply,ATX,750W,NULL
Corsair HX850,ATX,850W,10165.65
Corsair HX850 High Performance,ATX,850W,NULL
